"Key ratios1)","","","","","",""
"","Quarter 4","Quarter  4","Change,","Full-year","Full-year","Change,"
"SEK m","2020","2019","%","2020","2019","%"
"Total operating income","648","768","–16","2,368","3,038","–22"
"Profit/loss before tax","68","147","–54","82","748","–89"
"Net profit/loss","48","111","–57","41","605","–93"
"Basic and diluted earnings per share, SEK","0.31","1.07","–71","–0.50","6.07","–108"
"Net interest income margin, %","12","12","0 pp","12","13","–1 pp"
"C/I ratio, %","90","82","8 pp","97","76","21 pp"
"Return on equity, %","3","9","–6 pp","–1","13","–14 pp"
"Portfolio acquisitions","890","2,988","–70","1,761","5,952","–70"
"EBITDA, adjusted","1,471","1,116","32","4,626","4,414","5"
"","31 Dec","31  Dec","Change,","","",""
"SEK m","2020","2019","%","","",""
"Acquired loans","21,241","24,513","–13","","",""
"Gross 180-month ERC","32,763","38,874","–16","","",""
"Total capital ratio, %","16.49","14.01","2.48 pp","","",""
"CET1 ratio, %","10.76","9.94","0.82 pp","","",""
"Liquidity reserve","8,652","8,024","8","","",""
"Number of employees (FTEs)","1,631","1,575","4","","",""
"1)  See Definitions.","","","","","",""
