,Unnamed: 0,Quarter 4,Quarter  4,Full-year,Full-year.1
0,SEK m,2020,2019,2020,2019
1,Interest income,424,438,"1,705","1,813"
2,Interest expense,–123,–127,–521,–458
3,Net interest income,301,311,"1,184","1,355"
4,Dividends received,302,–,302,10
5,Fee and commission income,1,1,4,5
6,Net result from financial transactions,–19,–28,–112,–147
7,Derecognition gains and losses,0,–2,–1,–8
8,Other operating income,32,60,256,232
9,Total operating income,617,342,"1,633","1,447"
10,Personnel expenses,–86,–86,–376,–393
11,Other administrative expenses,–170,–231,–768,–767
12,Depreciation and amortisation of tangible and intangible assets,–19,–12,–62,–49
13,Total operating expenses,–275,–329,"–1,206","–1,209"
14,Profit before credit losses,342,13,427,238
15,Impairment gains and losses on acquired loan portfolios,30,14,–41,56
16,Amortisation of other financial fixed assets,–116,–,–116,–
17,Share of profit from joint ventures,21,25,71,71
18,Net operating profit/loss,277,52,341,365
19,Appropriations,–9,–47,–9,–47
20,Taxes,–35,–69,–77,–121
21,Net profit/loss,233,–64,255,197
