,Unnamed: 0,31 Dec,31 Dec.1
0,SEK m,2020,2019
1,ASSETS,,
2,Cash,0,0
3,Treasury bills and Treasury bonds,"2,411","2,729"
4,Lending to credit institutions,"1,611","1,455"
5,Lending to the public,6,13
6,Acquired loan portfolios,"6,755","7,394"
7,"Receivables, Group companies","14,402","17,432"
8,Bonds and other securities,"4,082","2,769"
9,Shares and participations in subsidiaries,816,807
10,Shares and participations in joint ventures,11,16
11,Intangible assets,187,186
12,Tangible assets,35,29
13,Other assets,462,290
14,Deferred tax assets,1,2
15,Prepayments and accrued income,55,55
16,Total assets,"30,834","33,177"
17,LIABILITIES AND EQUITY,,
18,Liabilities,,
19,Deposits from the public,"17,928","21,435"
20,Tax liabilities,96,33
21,Other liabilities,890,912
22,Deferred tax liabilities,3,2
23,Accrued expenses and deferred income,94,60
24,Provisions,37,53
25,Debt securities issued,"5,959","5,431"
26,Subordinated debts,821,852
27,Total liabilities and provisions,"25,828","28,778"
28,Untaxed reserves,277,268
29,Equity,,
30,Restricted equity,,
31,Share capital,30,30
32,Statutory reserve,13,13
33,Revaluation reserve,72,74
34,Development expenditure fund,2,5
35,Total restricted equity,117,122
36,Non-restricted equity,,
37,Additional Tier 1 capital holders,"1,106",690
38,Share premium,"1,883","1,883"
39,Reserves,2,3
40,Retained earnings,"1,366","1,236"
41,Profit/loss for the period,255,197
42,Total unrestricted equity,"4,612","4,009"
43,Total equity,"4,729","4,131"
44,Total liabilities and equity,"30,834","33,177"
