,Note 2,Exchange rates,Unnamed: 0,Unnamed: 1,Unnamed: 2
0,,,,Full-year 2020,Full-year 2019
1,1 EUR = SEK,,,,
2,Income statement (average),,,10.4844,10.585
3,Balance sheet (at end of the period),,,10.0375,10.4336
4,1 GBP = SEK,,,,
5,Income statement (average),,,11.7996,12.0706
6,Balance sheet (at end of the period),,,11.0873,12.2145
7,1 PLN = SEK,,,,
8,Income statement (average),,,2.3615,2.4628
9,Balance sheet (at end of the period),,,2.2166,2.4445
10,1 RON=SEK,,,,
11,Income statement (average),,,2.1672,2.2305
12,Balance sheet (at end of the period),,,2.0618,2.1814
