,Note 4,"Acquired loan portfolios, cont.",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,"Acquired performing loan portfolios,",,,,,,,
1,31 Dec 2020,,,,,PARENT COMPANY,,
2,,,,Gross,Stage 1,Stage 2 Stage 3,Loss,Net carrying
3,SEK m,,,carrying amount,12M ECL,LECL LECL,allowance,amount
4,Opening balance 1 Jan 2020,,,345,0,0 –3,–3,342
5,Interest income,,,20,–,– –,–,20
6,Amortisations and interest payments,,,–53,–,– –,–,–53
7,Changes in risk parameters,,,–,0,0 –,0,0
8,Derecognitions,,,–1,–,– –,–,–1
9,Translation differences,,,–30,0,0 0,0,–30
10,Closing balance 31 Dec 2020,,,281,0,0 –3,–3,278
