,Note 5,"Financial instruments, cont.",Unnamed: 0,Unnamed: 1,Unnamed: 2
0,Carrying amount and fair value of financial instruments,,,,
1,,,,"PARENT COMPANY, 31 DEC 2020",
2,,,Assets/liabilities  recognised  at,,
3,,,fair value through profit or loss,,
4,,,Held for,Hedging Amortised Total carrying,Fair
5,SEK m,,trading Mandatorily,instrument cost amount,value
6,Cash,,– –,– 0 0,0
7,Treasury bills and treasury bonds,,"– 2,411","– – 2,411","2,411"
8,Lending to credit institutions,,– –,"– 1,611 1,611","1,611"
9,Lending to the public,,– –,– 6 6,6
10,Acquired loan portfolios,,– –,"– 6,755 6,755","7,149"
11,"Receivables, Group companies",,– 10,"– 14,392 14,402","14,418"
12,Bonds and other securities,,"– 4,082","– – 4,082","4,082"
13,Derivatives,,27 –,2141) – 241,241
14,Other financial assets,,– –,– 205 205,205
15,Total,,"27 6,503","214 22,969 29,713","30,123"
16,Deposits from the public,,– –,"– 17,928 17,928","17,928"
17,Derivatives,,43 –,– – 43,43
18,Debt securities issued,,– –,"– 5,959 5,959","6,054"
19,Subordinated debt,,– –,– 821 821,744
20,Other financial debts,,– –,– 909 909,909
21,Total,,43 –,"– 25,617 25,660","25,678"
22,1) Derivatives recognised as hedging instruments is valued at fair value through other comprehensive income.,,,,
23,,,1) Derivat redovisade som säkringsinstrument värderas till verkligt värde via övrigt totalresultat.,,
24,Carrying amount and fair value of financial instruments,,,,
25,,,,"PARENT COMPANY, 31 DEC 2019",
26,,,Assets/liabilities  recognised  at,,
27,,,fair value through profit or loss,,
28,,,Held for,Hedging Amortised Total carrying,Fair
29,SEK m,,trading Mandatorily,instrument cost amount,value
30,Cash,,– –,– 0 0,0
31,Treasury bills and treasury bonds,,"– 2,729","– – 2,729","2,729"
32,Lending to credit institutions,,– –,"– 1,455 1,455","1,455"
33,Lending to the public,,– –,– 13 13,13
34,Acquired loan portfolios,,– –,"– 7,394 7,394","7,940"
35,"Receivables, Group companies",,– 9,"– 17,423 17,432","17,432"
36,Bonds and other securities,,"– 2,769","– – 2,769","2,769"
37,Derivatives,,41 –,661) – 107,107
38,Other financial assets,,– –,– 173 173,173
39,Total,,"41 5,507","66 26,458 32,072","32,618"
40,Deposits from the public,,– –,"– 21,435 21,435","21,435"
41,Derivatives,,29 –,61) – 35,35
42,Debt securities issued,,– –,"– 5,431 5,431","5,703"
43,Subordinated debt,,– –,– 852 852,840
44,Other financial debts,,– –,– 911 911,911
45,Total,,29 –,"6 28,629 28,664","28,924"
