,Unnamed: 0,Unnamed: 1,Quarter  4,Quarter  4.1,Full-year,Full-year.1
0,SEK m,Note,2020,2019,2020,2019
1,Interest income acquired loan portfolios 1),,778,865,"3,302","3,359"
2,Other interest income 2),,0,–3,6,–2
3,Interest expense,,–138,–149,–582,–494
4,Net interest income,,640,713,"2,726","2,863"
5,Impairment gains and losses,,–49,22,–458,120
6,Fee and commission income,,18,30,93,121
7,Net result from financial transactions,,39,1,–6,–79
8,Derecognition gains and losses,,0,–3,–1,–9
9,Other operating income,,0,5,14,22
10,Total operating income,3,648,768,"2,368","3,038"
11,Personnel expenses,,–189,–211,–862,–875
12,Collection costs,,–215,–231,–734,–787
13,Other administrative expenses,,–152,–180,–613,–568
14,Depreciation and amortisation of tangible and intangible assets,,–36,–29,–134,–122
15,Total operating expenses,3,–592,–651,"–2,343","–2,352"
16,Net operating profit/loss,,56,117,25,686
17,Share of profit from joint ventures,3,12,30,57,62
18,Profit/loss before tax,3,68,147,82,748
19,Income tax expense,,–20,–36,–41,–143
20,Net profit/loss,,48,111,41,605
21,Profit/loss attributable to:,,,,,
22,Owners of Hoist Finance AB (publ),,27,96,–45,542
23,Additional Tier 1 capital holders,,21,15,86,63
24,Basic and diluted earnings per share SEK,,0.31,1.07,–0.50,6.07
