,Unnamed: 0,Quarter  4,Quarter  4.1,Full-year,Full-year.1
0,SEK m,2020,2019,2020,2019
1,Net profit/loss for the period,48,111,41,605
2,OTHER COMPREHENSIVE INCOME,,,,
3,Items that will not be reclassified to profit or loss,,,,
4,Revaluation of defined benefit pension plan,–5,–3,–5,–3
5,Revaluation of remuneration after terminated,–1,–1,0,–1
6,Tax attributable to items that will not be reclassified to profit or loss,–,1,–,1
7,Total items that will not be reclassified to profit or loss,–6,–3,–5,–3
8,Items that may be reclassified subsequently to profit or loss,,,,
9,"Translation difference, foreign operations",–48,–2,–99,32
10,"Translation difference, joint ventures",–9,–2,–20,–1
11,Hedging of currency risk in foreign operations,–22,–38,–18,–114
12,Hedging of currency risk in joint ventures,6,–4,11,–8
13,Transferred to the income statement during the year,1,5,6,9
14,Tax attributable to items that may be reclassified to profit or loss,–2,9,–3,26
15,Total items that may be reclassified subsequently to profit or loss,–74,–32,–123,–56
16,Other comprehensive income for the period,–80,–35,–128,–59
17,Total comprehensive income for the period,–32,76,–87,546
18,Profit/loss attributable to:,,,,
19,Owners of Hoist Finance AB (publ),–53,61,–173,483
20,Additional Tier 1 capital holders,21,15,86,63
